elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
3202,1.0,0:53:22,33.8,2.8120000000000003,37.0616,08/12/19 20:19:16,28.0
3212,1.0,0:53:32,33.8,2.75,36.95,08/12/19 20:19:26,27.0
3222,1.0,0:53:42,33.8,2.6870000000000003,36.95,08/12/19 20:19:36,27.0
3232,1.0,0:53:52,33.8,2.6870000000000003,36.836600000000004,08/12/19 20:19:46,27.0
3242,1.0,0:54:02,33.8,2.625,36.725,08/12/19 20:19:56,27.0
3252,1.0,0:54:12,33.8,2.562,36.6116,08/12/19 20:20:06,27.0
3262,1.0,0:54:22,33.8,2.5,36.5,08/12/19 20:20:16,27.0
3272,1.0,0:54:32,33.8,2.437,36.3866,08/12/19 20:20:26,27.0
3282,1.0,0:54:42,33.8,2.375,36.275,08/12/19 20:20:36,27.0
3292,1.0,0:54:52,33.8,2.312,36.1616,08/12/19 20:20:46,27.0
3302,1.0,0:55:02,33.8,2.25,36.05,08/12/19 20:20:56,27.0
3312,1.0,0:55:12,33.8,2.187,35.9366,08/12/19 20:21:06,28.0
3322,1.0,0:55:22,33.8,2.125,35.825,08/12/19 20:21:16,28.0
3332,1.0,0:55:32,33.8,2.062,35.7116,08/12/19 20:21:26,28.0
3342,1.0,0:55:42,33.8,2.0,35.6,08/12/19 20:21:36,27.0
3352,1.0,0:55:52,33.8,1.875,35.375,08/12/19 20:21:46,27.0
3362,1.0,0:56:02,33.8,1.812,35.2616,08/12/19 20:21:56,27.0
3372,1.0,0:56:12,33.8,1.687,35.15,08/12/19 20:22:06,27.0
3382,1.0,0:56:22,33.8,1.625,34.925,08/12/19 20:22:16,27.0
3392,1.0,0:56:32,33.8,1.562,34.8116,08/12/19 20:22:26,27.0
3402,1.0,0:56:42,33.8,1.437,34.5866,08/12/19 20:22:36,27.0
3412,1.0,0:56:52,33.8,1.375,34.475,08/12/19 20:22:46,27.0
3422,1.0,0:57:02,33.8,1.312,34.3616,08/12/19 20:22:56,27.0
3432,1.0,0:57:12,33.8,1.25,34.25,08/12/19 20:23:06,27.0
3442,1.0,0:57:22,33.8,1.187,34.025,08/12/19 20:23:16,27.0
3452,1.0,0:57:32,33.8,1.062,33.9116,08/12/19 20:23:26,27.0
3462,1.0,0:57:42,33.8,1.0,33.8,08/12/19 20:23:36,27.0
3472,1.0,0:57:52,33.8,0.937,33.575,08/12/19 20:23:46,27.0
3482,1.0,0:58:02,33.8,0.812,33.4616,08/12/19 20:23:56,27.0
3492,1.0,0:58:12,33.8,0.75,33.35,08/12/19 20:24:06,27.0
3502,1.0,0:58:22,33.8,0.687,33.2366,08/12/19 20:24:16,27.0
3512,1.0,0:58:32,33.8,0.625,33.125,08/12/19 20:24:26,27.0
3522,1.0,0:58:42,33.8,0.562,33.0116,08/12/19 20:24:36,27.0
3532,1.0,0:58:52,33.8,0.5,32.9,08/12/19 20:24:46,27.0
