elapsed_time,tempC_amb,elapsed_time_formatted,tempF_amb,tempC_probe,tempF_probe,time_stamp,humidity
762,1.0,0:12:42,33.8,17.687,63.836600000000004,08/12/19 19:38:36,27.0
772,1.0,0:12:52,33.8,17.625,63.725,08/12/19 19:38:46,27.0
782,1.0,0:13:02,33.8,17.562,63.6116,08/12/19 19:38:56,27.0
792,1.0,0:13:12,33.8,17.5,63.3866,08/12/19 19:39:06,27.0
802,1.0,0:13:22,33.8,17.375,63.275000000000006,08/12/19 19:39:16,27.0
812,1.0,0:13:32,33.8,17.312,63.16160000000001,08/12/19 19:39:26,27.0
822,1.0,0:13:42,33.8,17.25,63.05,08/12/19 19:39:36,27.0
832,1.0,0:13:52,33.8,17.187,62.9366,08/12/19 19:39:46,27.0
842,1.0,0:14:02,33.8,17.125,62.711600000000004,08/12/19 19:39:56,27.0
852,1.0,0:14:12,33.8,17.0,62.6,08/12/19 19:40:06,27.0
862,1.0,0:14:22,33.8,16.937,62.4866,08/12/19 19:40:16,27.0
872,1.0,0:14:32,33.8,16.875,62.375,08/12/19 19:40:26,27.0
882,1.0,0:14:42,33.8,16.75,62.2616,08/12/19 19:40:36,27.0
892,1.0,0:14:52,33.8,16.687,62.03660000000001,08/12/19 19:40:46,27.0
902,1.0,0:15:02,33.8,16.625,61.925,08/12/19 19:40:56,27.0
912,1.0,0:15:12,33.8,16.562,61.7,08/12/19 19:41:06,27.0
922,1.0,0:15:22,33.8,16.437,61.586600000000004,08/12/19 19:41:16,27.0
932,1.0,0:15:32,33.8,16.375,61.475,08/12/19 19:41:26,27.0
942,1.0,0:15:42,33.8,16.25,61.25,08/12/19 19:41:36,27.0
952,1.0,0:15:52,33.8,16.187,61.1366,08/12/19 19:41:46,27.0
962,1.0,0:16:02,33.8,16.125,61.025000000000006,08/12/19 19:41:56,27.0
972,1.0,0:16:12,33.8,16.0,60.8,08/12/19 19:42:06,27.0
982,1.0,0:16:22,33.8,15.937000000000001,60.6866,08/12/19 19:42:16,27.0
992,1.0,0:16:32,33.8,15.812000000000001,60.461600000000004,08/12/19 19:42:26,27.0
1002,1.0,0:16:42,33.8,15.75,60.35,08/12/19 19:42:36,27.0
1012,1.0,0:16:52,33.8,15.625,60.125,08/12/19 19:42:46,27.0
1022,1.0,0:17:02,33.8,15.562000000000001,60.0116,08/12/19 19:42:56,27.0
1032,1.0,0:17:12,33.8,15.5,59.900000000000006,08/12/19 19:43:06,27.0
1042,1.0,0:17:22,33.8,15.437000000000001,59.675,08/12/19 19:43:16,27.0
1052,1.0,0:17:32,33.8,15.312000000000001,59.5616,08/12/19 19:43:26,27.0
1062,1.0,0:17:42,33.8,15.25,59.45,08/12/19 19:43:36,27.0
1072,1.0,0:17:52,33.8,15.187000000000001,59.336600000000004,08/12/19 19:43:46,27.0
1082,1.0,0:18:02,33.8,15.062000000000001,59.1116,08/12/19 19:43:56,27.0
1092,1.0,0:18:12,33.8,15.0,59.0,08/12/19 19:44:06,27.0
1102,1.0,0:18:22,33.8,14.875,58.8866,08/12/19 19:44:16,27.0
1112,1.0,0:18:32,33.8,14.812000000000001,58.66160000000001,08/12/19 19:44:26,27.0
1122,1.0,0:18:42,33.8,14.75,58.55,08/12/19 19:44:36,27.0
1132,1.0,0:18:52,33.8,14.625,58.325,08/12/19 19:44:46,27.0
1142,1.0,0:19:02,33.8,14.562000000000001,58.211600000000004,08/12/19 19:44:56,27.0
1152,1.0,0:19:12,33.8,14.5,58.1,08/12/19 19:45:06,27.0
1162,1.0,0:19:22,33.8,14.437000000000001,57.9866,08/12/19 19:45:16,27.0
