['07/16/19 18:13:55', 811.8933119773865, 36.25, 97.25]
['07/16/19 18:14:05', 821.8933501243591, 36.187, 97.1366]
['07/16/19 18:14:15', 831.8947689533234, 36.125, 97.025]
['07/16/19 18:14:25', 841.8933339118958, 36.0, 96.8]
['07/16/19 18:14:35', 851.8933439254761, 35.937, 96.6866]
['07/16/19 18:14:45', 861.8932931423187, 35.812, 96.4616]
['07/16/19 18:14:55', 871.8947439193726, 35.75, 96.35000000000001]
['07/16/19 18:15:05', 881.8933479785919, 35.625, 96.125]
['07/16/19 18:15:15', 891.8932881355286, 35.562, 96.0116]
['07/16/19 18:15:25', 901.8947911262512, 35.437, 95.78659999999999]
['07/16/19 18:15:35', 911.893364906311, 35.375, 95.5616]
['07/16/19 18:15:45', 921.8932709693909, 35.25, 95.45]
['07/16/19 18:15:55', 931.8933010101318, 35.125, 95.225]
['07/16/19 18:16:05', 941.8948550224304, 35.0, 95.0]
['07/16/19 18:16:15', 951.8933289051056, 34.875, 94.775]
['07/16/19 18:16:25', 961.8933620452881, 34.812, 94.66159999999999]
['07/16/19 18:16:35', 971.8937609195709, 34.687, 94.4366]
['07/16/19 18:16:45', 981.8932881355286, 34.562, 94.2116]
['07/16/19 18:16:55', 991.8933629989624, 34.437, 93.9866]
['07/16/19 18:17:05', 1001.8948619365692, 34.312, 93.76159999999999]
['07/16/19 18:17:15', 1011.8932881355286, 34.187, 93.65]
['07/16/19 18:17:25', 1021.8933601379395, 34.125, 93.42500000000001]
['07/16/19 18:17:35', 1031.8948431015015, 34.0, 93.2]
['07/16/19 18:17:45', 1041.893275976181, 33.875, 92.975]
['07/16/19 18:17:55', 1051.8933560848236, 33.812, 92.8616]
['07/16/19 18:18:05', 1061.893371105194, 33.625, 92.63659999999999]
['07/16/19 18:18:15', 1071.893294095993, 33.562, 92.41159999999999]
['07/16/19 18:18:25', 1081.8933579921722, 33.437, 92.1866]
['07/16/19 18:18:35', 1091.8946900367737, 33.312, 91.9616]
['07/16/19 18:18:45', 1101.8933100700378, 33.187, 91.7366]
['07/16/19 18:18:55', 1111.8947689533234, 33.062, 91.51159999999999]
['07/16/19 18:19:05', 1121.8933520317078, 33.0, 91.4]
['07/16/19 18:19:15', 1131.8932931423187, 32.875, 91.17500000000001]
['07/16/19 18:19:25', 1141.8947501182556, 32.75, 90.95]
['07/16/19 18:19:35', 1151.893347978592, 32.625, 90.725]
['07/16/19 18:19:45', 1161.8932650089264, 32.5, 90.5]
['07/16/19 18:19:55', 1171.894140958786, 32.375, 90.275]
['07/16/19 18:20:05', 1181.893352985382, 32.312, 90.16159999999999]
['07/16/19 18:20:15', 1191.8933000564575, 32.187, 89.9366]
['07/16/19 18:20:25', 1201.8935239315033, 32.0, 89.7116]
['07/16/19 18:20:35', 1211.8933470249176, 31.937, 89.48660000000001]
['07/16/19 18:20:45', 1221.8946950435638, 31.812, 89.2616]
['07/16/19 18:20:56', 1231.97336602211, 31.687, 89.03659999999999]
['07/16/19 18:21:06', 1241.9733440876007, 31.562, 88.92500000000001]
['07/16/19 18:21:16', 1251.9732630252838, 31.5, 88.7]
['07/16/19 18:21:26', 1261.9733650684357, 31.375, 88.475]
['07/16/19 18:21:36', 1271.975042104721, 31.25, 88.25]
['07/16/19 18:21:46', 1281.973289012909, 31.125, 88.025]
['07/16/19 18:21:56', 1291.9735789299011, 31.0, 87.80000000000001]
['07/16/19 18:22:06', 1301.9733591079712, 30.875, 87.575]
['07/16/19 18:22:16', 1311.973298072815, 30.812, 87.4616]
['07/16/19 18:22:26', 1321.9733490943909, 30.687, 87.23660000000001]
['07/16/19 18:22:36', 1331.9735341072083, 30.562, 87.0116]
['07/16/19 18:22:46', 1341.9735670089722, 30.437, 86.78659999999999]
['07/16/19 18:22:56', 1351.9733791351318, 30.312, 86.5616]
['07/16/19 18:23:06', 1361.973345041275, 30.25, 86.3366]
['07/16/19 18:23:16', 1371.973729133606, 30.125, 86.225]
['07/16/19 18:23:26', 1381.9747710227966, 30.0, 86.0]
['07/16/19 18:23:36', 1391.9733700752258, 29.875, 85.775]
['07/16/19 18:23:46', 1401.9732630252838, 29.75, 85.55000000000001]
['07/16/19 18:23:56', 1411.973356962204, 29.625, 85.325]
['07/16/19 18:24:06', 1422.8547151088715, 29.562, 85.2116]
['07/16/19 18:24:16', 1431.9732699394226, 29.437, 84.98660000000001]
['07/16/19 18:24:26', 1441.9733381271362, 29.312, 84.7616]
['07/16/19 18:24:36', 1451.9733529090881, 29.187, 84.53659999999999]
['07/16/19 18:24:46', 1461.973976135254, 29.125, 84.3116]
['07/16/19 18:24:56', 1471.9733719825745, 29.0, 84.2]
['07/16/19 18:25:06', 1481.9733469486237, 28.875, 83.975]
['07/16/19 18:25:16', 1491.9734480381012, 28.75, 83.75]
['07/16/19 18:25:26', 1501.974776983261, 28.625, 83.525]
['07/16/19 18:25:36', 1511.973345041275, 28.562, 83.41159999999999]
['07/16/19 18:25:46', 1521.9732830524445, 28.437, 83.075]
['07/16/19 18:25:56', 1531.974767923355, 28.312, 82.9616]
['07/16/19 18:26:06', 1541.9733641147614, 28.187, 82.73660000000001]
['07/16/19 18:26:16', 1551.9734470844269, 28.062, 82.5116]
['07/16/19 18:26:26', 1561.9747760295868, 27.937, 82.4]
['07/16/19 18:26:36', 1571.9733519554138, 27.875, 82.17500000000001]
['07/16/19 18:26:46', 1581.973298072815, 27.75, 81.95]
['07/16/19 18:26:56', 1591.9749069213867, 27.625, 81.725]
['07/16/19 18:27:06', 1601.9733579158783, 27.5, 81.61160000000001]
['07/16/19 18:27:16', 1611.9747760295868, 27.437, 81.3866]
['07/16/19 18:27:26', 1621.9733469486237, 27.312, 81.16159999999999]
['07/16/19 18:27:36', 1631.9734289646149, 27.187, 80.9366]
['07/16/19 18:27:46', 1641.9747791290283, 27.062, 80.7116]
['07/16/19 18:27:56', 1651.973354101181, 27.0, 80.6]
['07/16/19 18:28:06', 1661.9732780456543, 26.875, 80.375]
['07/16/19 18:28:16', 1672.8548440933228, 26.75, 80.15]
['07/16/19 18:28:26', 1681.9733519554138, 26.687, 79.92500000000001]
['07/16/19 18:28:36', 1691.9732661247253, 26.562, 79.8116]
['07/16/19 18:28:46', 1702.0533049106598, 26.437, 79.5866]
['07/16/19 18:28:56', 1711.9741270542145, 26.312, 79.36160000000001]
['07/16/19 18:29:06', 1721.9733040332794, 26.187, 79.25]
['07/16/19 18:29:16', 1731.9735510349274, 26.125, 79.025]
['07/16/19 18:29:26', 1741.9733650684357, 26.0, 78.80000000000001]
['07/16/19 18:29:36', 1751.9732761383057, 25.875, 78.575]
['07/16/19 18:29:46', 1761.9732661247253, 25.75, 78.4616]
['07/16/19 18:29:56', 1771.9733600616455, 25.687, 78.23660000000001]
